Rk,Player,Tm,SA1819,SA1920,SA2021,SA2122,SA2223,SA2324,Signed Using,Guaranteed,SA1819.log
114,Will Barton\bartowi01,DEN,11830358.00,"$12,960,000 ","$13,920,000 ","$14,880,000 ",,$0 ,,"$38,710,358 ",16.2861795
111,Kentavious Caldwell-Pope\caldwke01,LAL,12000000.00,,,,,$0 ,,"$12,000,000 ",16.30041721
112,Avery Bradley\bradlav01,LAC,12000000.00,"$12,960,000 ",,,,$0 ,,"$12,000,000 ",16.30041721
113,Kemba Walker\walkeke02,CHO,12000000.00,,,,,$0 ,1st Round Pick,"$12,000,000 ",16.30041721
110,Kelly Olynyk\olynyke01,MIA,12137527.00,"$11,667,885 ","$12,198,243 ",,,$0 ,Cap space,"$23,805,412 ",16.31181262
109,J.J. Redick\redicjj01,PHI,12250000.00,,,,,$0 ,,"$12,250,000 ",16.32103649
108,Solomon Hill\hillso01,NOP,12252928.00,"$13,258,781 ",,,,$0 ,Cap Space,"$25,511,709 ",16.32127549
107,Courtney Lee\leeco01,NYK,12253780.00,"$12,759,670 ",,,,$0 ,Cap Space,"$25,013,450 ",16.32134502
106,Tyreke Evans\evansty01,IND,12400000.00,,,,,$0 ,,"$12,400,000 ",16.33320703
103,Jordan Clarkson\clarkjo01,CLE,12500000.00,"$13,437,500 ",,,,$0 ,Cap Space,"$25,937,500 ",16.3412392
104,Miles Plumlee\plumlmi01,ATL,12500000.00,"$12,500,000 ",,,,$0 ,Bird Rights,"$25,000,000 ",16.3412392
105,Nikola Mirotic\mirotni01,NOP,12500000.00,,,,,$0 ,Cap space,"$12,500,000 ",16.3412392
102,Austin Rivers\riverau01,PHO,12650000.00,,,,,$0 ,,"$12,650,000 ",16.35316777
101,Nikola Vucevic\vucevni01,ORL,12750000.00,,,,,$0 ,Bird Rights,"$12,750,000 ",16.36104183
100,Wilson Chandler\chandwi01,PHI,12800562.00,,,,,$0 ,,"$12,800,562 ",16.36499963
99,Mason Plumlee\plumlma01,DEN,12917808.00,"$14,041,096 ",,,,$0 ,Cap space,"$26,958,904 ",16.37411738
97,Khris Middleton\middlkh01,MIL,13000000.00,"$13,000,000 ",,,,$0 ,Bird Rights,"$13,000,000 ",16.38045992
98,Michael Kidd-Gilchrist\kiddgmi01,CHO,13000000.00,"$13,000,000 ",,,,$0 ,1st Round Pick,"$13,000,000 ",16.38045992
96,Joe Ingles\inglejo01,UTA,13045455.00,"$11,954,546 ","$10,863,637 ",,,$0 ,Bird Rights,"$35,863,638 ",16.38395036
95,Eric Gordon\gordoer01,HOU,13500375.00,"$14,057,730 ",,,,$0 ,Cap Space,"$27,558,105 ",16.41822802
94,Cody Zeller\zelleco01,CHO,13528090.00,"$14,471,910 ","$15,415,730 ",,,$0 ,1st Round Pick,"$43,415,730 ",16.42027882
93,Marcin Gortat\gortama01,LAC,13565218.00,,,,,$0 ,Bird Rights,"$13,565,218 ",16.42301957
92,Tyson Chandler\chandty01,PHO,13585000.00,,,,,$0 ,,"$13,585,000 ",16.4244768
90,Thaddeus Young\youngth01,IND,13764045.00,,,,,$0 ,Bird Rights,"$13,764,045 ",16.43757032
91,Kenneth Faried\farieke01,BRK,13764045.00,,,,,$0 ,,"$13,764,045 ",16.43757032
89,Jeremy Lin\linje01,ATL,13768421.00,,,,,$0 ,Cap Space,"$13,768,421 ",16.43788819
88,Taj Gibson\gibsota01,MIN,14000000.00,,,,,$0 ,Cap space,"$14,000,000 ",16.45456789
87,Marvin Williams\willima02,CHO,14087500.00,"$15,006,250 ",,,,$0 ,Cap Space,"$14,087,500 ",16.46079844
86,Luol Deng\denglu01,LAL,14354067.00,"$4,990,000 ","$4,990,000 ","$4,990,000 ",,$0 ,,"$29,324,067 ",16.47954387
85,Robin Lopez\lopezro01,CHI,14357750.00,,,,,$0 ,Cap Space,"$14,357,750 ",16.47980042
84,Brandon Knight\knighbr03,HOU,14631250.00,"$15,643,750 ",,,,$0 ,,"$30,275,000 ",16.49867021
83,James Johnson\johnsja01,MIA,14651700.00,"$15,349,400 ","$16,047,100 ",,,$0 ,Cap space,"$30,001,100 ",16.50006693
82,J.R. Smith\smithjr01,CLE,14720000.00,"$15,680,000 ",,,,$0 ,Bird Rights,"$18,590,000 ",16.50471767
81,Tobias Harris\harrito02,LAC,14800000.00,,,,,$0 ,Bird Rights,"$14,800,000 ",16.51013774
80,Ricky Rubio\rubiori01,UTA,14975000.00,,,,,$0 ,1st Round Pick,"$14,975,000 ",16.5218927
78,Trevor Ariza\arizatr01,WAS,15000000.00,,,,,$0 ,Cap Space,"$15,000,000 ",16.52356076
79,Eric Bledsoe\bledser01,MIL,15000000.00,,,,,$0 ,Bird Rights,"$15,000,000 ",16.52356076
77,Gorgui Dieng\dienggo01,MIN,15170787.00,"$16,229,213 ","$17,287,640 ",,,$0 ,1st Round Pick,"$48,687,640 ",16.53488223
76,Clint Capela\capelca01,HOU,15293104.00,"$16,456,522 ","$17,500,000 ","$18,543,478 ","$19,586,957 ",$0 ,,"$87,380,061 ",16.54291257
75,DeMarre Carroll\carrode01,BRK,15400000.00,,,,,$0 ,Cap Space,"$15,400,000 ",16.54987807
74,Dennis Schroder\schrode01,OKC,15500000.00,"$15,500,000 ","$15,500,000 ",,,$0 ,1st Round Pick,"$46,500,000 ",16.55635058
73,Ian Mahinmi\mahinia01,WAS,15944154.00,"$15,450,051 ",,,,$0 ,Cap Space,"$31,394,205 ",16.5846028
71,Andre Iguodala\iguodan01,GSW,16000000.00,"$17,185,185 ",,,,$0 ,Bird Rights,"$33,185,185 ",16.58809928
72,Timofey Mozgov\mozgoti01,ORL,16000000.00,"$16,720,000 ",,,,$0 ,Cap Space,"$32,720,000 ",16.58809928
70,Gary Harris\harriga01,DEN,16517857.00,"$17,839,286 ","$19,160,714 ","$20,482,143 ",,$0 ,1st Round Pick,"$74,000,000 ",16.6199526
69,Jonas Valanciunas\valanjo01,TOR,16539326.00,"$17,617,977 ",,,,$0 ,1st Round Pick,"$16,539,326 ",16.6212515
68,Pau Gasol\gasolpa01,SAS,16800000.00,"$16,000,000 ",,,,$0 ,,"$23,500,000 ",16.63688944
67,Derrick Favors\favorde01,UTA,16900000.00,"$16,900,000 ",,,,$0 ,,"$16,000,000 ",16.64282418
65,Evan Fournier\fournev01,ORL,17000000.00,"$17,000,000 ","$17,000,000 ",,,$0 ,Cap Space,"$34,000,000 ",16.6487239
66,Bismack Biyombo\biyombi01,CHO,17000000.00,"$17,000,000 ",,,,$0 ,Cap Space,"$17,000,000 ",16.6487239
64,Reggie Jackson\jacksre01,DET,17043478.00,"$18,086,956 ",,,,$0 ,Bird Rights,"$35,130,434 ",16.65127817
63,Tim Hardaway\hardati02,NYK,17325000.00,"$18,150,000 ","$18,975,000 ",,,$0 ,Cap space,"$35,475,000 ",16.6676611
61,Draymond Green\greendr01,GSW,17469565.00,"$18,539,130 ",,,,$0 ,Bird Rights,"$36,008,695 ",16.67597078
62,Tristan Thompson\thomptr01,CLE,17469565.00,"$18,539,130 ",,,,$0 ,Bird Rights,"$36,008,695 ",16.67597078
60,Evan Turner\turneev01,POR,17868852.00,"$18,606,557 ",,,,$0 ,Cap Space,"$36,475,409 ",16.69856964
59,Kent Bazemore\bazemke01,ATL,18089887.00,"$19,269,662 ",,,,$0 ,Cap Space,"$18,089,887 ",16.71086361
58,Goran Dragic\dragigo01,MIA,18109175.00,"$19,217,900 ",,,,$0 ,Bird Rights,"$18,109,175 ",16.71192927
